city,mc,product_desc,date,net_sales,tot_qty,discount,mop,footfall
city2,ABCD,Prod17,04-08-2018,1856,2,240,1048,5340
city3,ABCD,Prod4,31-05-2018,1509.64,28,96.36,57.3571,7600
city3,ABCD,Prod42,25-07-2018,269,8,0,33.625,11426
city3,ABCD,Prod43,06-02-2018,8221.62,19,594.38,464,4852
city2,ABCD,Prod23,06-02-2018,630,1,60,690,3466
city3,ABCD,Prod3,24-10-2018,4490,5,505,999,11658
city3,ABCD,Prod36,10-10-2018,8033,10,1600,963.3,7966
city2,ABCD,Prod44,20-03-2018,1104,6,120,204,4048
city3,ABCD,Prod45,02-09-2018,1515,3,330,615,10691
city3,ABCD,Prod14,23-12-2018,30055.17,70,7053.83,530.1285,8052
city2,ABCD,Prod19,20-09-2018,540,6,0,90,3430
city1,ABCD,Prod16,02-05-2018,507.6,2,32.4,270,1940
city1,ABCD,Prod19,14-05-2018,84.6,1,5.4,90,1426
city2,ABCD,Prod47,21-01-2018,400,1,50,450,4943
city3,ABCD,Prod18,18-07-2018,7896,21,528,401.1428,9663
city2,ABCD,Prod21,17-05-2018,899,1,100,999,4403
city2,ABCD,Prod49,17-03-2019,130,2,0,65,4309
city3,ABCD,Prod30,19-01-2018,121.26,1,7.74,129,4166
city3,ABCD,Prod14,10-10-2018,15647,35,2640,522.4857,7966
city2,ABCD,Prod36,20-03-2018,1694.02,2,201.98,948,4048
city3,ABCD,Prod27,05-02-2019,105,3,0,35,5308
city2,ABCD,Prod51,08-08-2018,220,4,40,65,5129
city1,ABCD,Prod30,02-05-2018,135,1,0,135,1940
city3,ABCD,Prod18,15-11-2018,752,2,48,400,6827
city3,ABCD,Prod17,26-01-2018,29511.55,33,4972.45,1044.9696,7948
city3,ABCD,Prod8,08-07-2018,6598.8,13,421.2,540,10159
city1,ABCD,Prod54,08-07-2018,3043.8,18,196.2,180,2275
city2,ABCD,Prod4,22-07-2018,1485,27,0,55,6726
city2,ABCD,Prod56,14-07-2018,53,1,0,53,5451
city1,ABCD,Prod17,15-07-2018,6286,7,1050,1048,1953
city3,ABCD,Prod31,15-03-2019,1052.8,4,67.2,280,4630
city2,ABCD,Prod57,11-07-2018,1203,6,243,241,5704
city3,ABCD,Prod58,07-05-2018,204,4,0,51,3892
city1,ABCD,Prod33,30-03-2018,75,1,0,75,1371
city3,ABCD,Prod3,07-08-2018,6153,7,840,999,6125
city2,ABCD,Prod1,16-11-2018,662.7,1,42.3,705,4024
city3,ABCD,Prod4,01-04-2018,3116.1,59,202.26,56.2433,10157
city2,ABCD,Prod27,09-03-2018,280,8,0,35,3165
city3,ABCD,Prod59,21-09-2018,211.5,1,13.5,225,5866
city1,ABCD,Prod2,20-07-2018,1283.1,13,81.9,105,1375
city2,ABCD,Prod2,14-03-2018,924.31,9,69.69,110.4444,3891
city2,ABCD,Prod44,26-05-2018,1394.96,7,89.04,212,6225
city1,ABCD,Prod14,30-07-2018,1286.13,3,330.87,539,1485
city2,ABCD,Prod31,30-07-2018,253.8,1,16.2,270,4342
city2,ABCD,Prod54,12-12-2018,1176.62,7,83.38,180,4113
city1,ABCD,Prod10,16-09-2018,995,5,280,255,1842
city3,ABCD,Prod43,19-06-2018,8425.4,19,566.6,473.2631,6399
city3,ABCD,Prod60,11-06-2018,212,1,0,212,6983
city3,ABCD,Prod15,31-01-2018,3120,6,3120,1040,6957
city2,ABCD,Prod61,07-10-2018,238.29,1,36.71,275,6312
city3,ABCD,Prod26,14-05-2018,126.1,1,3.9,130,5961
city1,ABCD,Prod54,10-11-2018,670.16,4,49.84,180,1606
city3,ABCD,Prod42,14-01-2018,71,2,0,35.5,8383
city2,ABCD,Prod63,16-10-2018,988.88,5,63.12,210.4,4386
city1,ABCD,Prod43,07-10-2018,3330,9,990,480,1858
city3,ABCD,Prod37,26-03-2018,117,3,0,39,4893
city3,ABCD,Prod50,19-01-2018,1254,3,225,493,4166
city2,ABCD,Prod26,04-06-2018,126,1,0,126,4757
city3,ABCD,Prod6,31-10-2018,2994,3,303,1099,8158
city1,ABCD,Prod36,01-11-2018,839,1,160,999,1480
city3,ABCD,Prod54,17-03-2019,1184.4,7,75.6,180,7234
city1,ABCD,Prod17,17-03-2019,6293,7,1400,1099,1728
city3,ABCD,Prod25,12-06-2018,561.18,3,35.82,199,6175
city2,ABCD,Prod44,12-06-2018,1195.68,6,76.32,212,4317
city1,ABCD,Prod7,03-01-2018,140,2,0,70,1634
city1,ABCD,Prod66,21-03-2019,2400,3,0,800,1506
city1,ABCD,Prod34,17-06-2018,507.6,6,32.4,90,1779
city3,ABCD,Prod36,17-06-2018,15960,20,3000,948,8472
city2,ABCD,Prod45,17-06-2018,462,1,135,597,5724
city2,ABCD,Prod67,13-07-2018,3720,6,540,710,4135
city3,ABCD,Prod16,08-06-2018,2526.69,10,173.31,270,7213
city2,ABCD,Prod68,27-02-2018,7400.07,13,1504.93,685,2981
city1,ABCD,Prod19,30-11-2018,270,3,0,90,1150
city2,ABCD,Prod69,30-11-2018,1996,2,202,1099,4160
city3,ABCD,Prod39,19-10-2018,708,2,0,354,5915
city3,ABCD,Prod28,23-12-2018,450,2,0,225,8052
city3,ABCD,Prod44,08-07-2018,5968.77,30,391.23,212,10159
city1,ABCD,Prod45,08-07-2018,445,1,170,615,2275
city3,ABCD,Prod34,13-04-2018,494.44,5,31.56,105.2,5768
city2,ABCD,Prod68,12-12-2018,4929.72,8,750.28,710,4113
city1,ABCD,Prod59,16-09-2018,423,2,27,225,1842
city3,ABCD,Prod65,17-09-2018,205.86,1,13.14,219,6257
city3,ABCD,Prod28,27-01-2019,450,2,0,225,20977
city3,ABCD,Prod24,10-09-2018,1992.8,37,127.2,57.2972,6054
city3,ABCD,Prod32,19-06-2018,2707.2,16,172.8,180,6399
city2,ABCD,Prod33,07-02-2019,150,2,0,75,3315
city1,ABCD,Prod4,29-07-2018,2117.18,40,2.82,53,2158
city3,ABCD,Prod40,03-03-2019,112,1,0,112,10666
city2,ABCD,Prod2,05-04-2018,210.56,2,13.44,112,3894
city1,ABCD,Prod10,11-07-2018,6757.36,40,3442.64,255,2246
city2,ABCD,Prod65,11-07-2018,617.58,3,39.42,219,5704
city3,ABCD,Prod40,26-03-2018,112,1,0,112,4893
city3,ABCD,Prod71,21-01-2018,705,3,45,250,7774
city2,ABCD,Prod31,25-04-2018,468.12,2,29.88,249,5241
city2,ABCD,Prod69,28-06-2018,1998,2,200,1099,4377
city2,ABCD,Prod11,27-08-2018,394,1,20,414,3322
city1,ABCD,Prod58,04-03-2019,106,2,0,53,1102
city3,ABCD,Prod3,14-09-2018,2742,3,255,999,6834
city3,ABCD,Prod11,02-12-2018,778,2,50,414,9966
city1,ABCD,Prod19,22-07-2018,180,2,0,90,2033
city1,ABCD,Prod24,16-02-2019,109.04,2,6.96,58,1378
city3,ABCD,Prod12,17-05-2018,1793.44,18,146.28,107.7622,6518
city1,ABCD,Prod32,01-01-2019,1800,12,360,180,1530
city3,ABCD,Prod47,18-03-2018,1676.95,4,243.05,480,11545
city3,ABCD,Prod56,17-05-2018,294,6,0,49,6518
city3,ABCD,Prod52,04-06-2018,364,1,61,425,7579
city1,ABCD,Prod2,10-10-2018,1184.4,12,75.6,105,1863
city1,ABCD,Prod7,20-03-2018,70,1,0,70,1399
city2,ABCD,Prod54,09-12-2018,2538,15,162,180,5809
city3,ABCD,Prod31,09-12-2018,1831.27,7,128.73,280,9473
city2,ABCD,Prod10,16-05-2018,510,3,255,255,5652
city2,ABCD,Prod51,09-12-2018,399,7,56,65,5809
city3,ABCD,Prod8,09-12-2018,1052.8,2,67.2,560,9473
city2,ABCD,Prod12,12-11-2018,2191.02,22,140.98,106,4324
city3,ABCD,Prod19,16-10-2018,442.8,5,7.2,90,5806
city2,ABCD,Prod24,04-08-2018,2513.43,48,171.57,55.9375,5340
city3,ABCD,Prod18,31-05-2018,1504,4,96,400,7600
city2,ABCD,Prod46,10-04-2018,349,1,26,375,3419
city3,ABCD,Prod22,25-07-2018,799,1,0,799,11426
city1,ABCD,Prod67,30-03-2018,1220,2,150,685,1371
city3,ABCD,Prod18,07-08-2018,1128,3,72,400,6125
city3,ABCD,Prod35,16-11-2018,112,4,0,28,6046
city2,ABCD,Prod11,16-11-2018,389,1,25,414,4024
city3,ABCD,Prod45,02-07-2018,2189,5,850,607.8,6675
city2,ABCD,Prod56,03-10-2018,106,2,0,53,7036
city2,ABCD,Prod40,07-02-2019,112,1,0,112,3315
city3,ABCD,Prod32,20-12-2018,3900,26,780,180,4655
city3,ABCD,Prod41,10-10-2018,2538,5,162,540,7966
city2,ABCD,Prod34,20-03-2018,844.41,9,79.71,102.68,4048
city1,ABCD,Prod16,05-03-2018,244.4,1,15.6,260,1635
city1,ABCD,Prod40,17-06-2018,224,2,0,112,1779
city3,ABCD,Prod30,17-06-2018,1215,9,0,135,8472
city2,ABCD,Prod44,17-06-2018,1793.52,9,114.48,212,5724
city2,ABCD,Prod53,13-07-2018,140,4,0,35,4135
city3,ABCD,Prod25,08-06-2018,1122.36,6,71.64,199,7213
city2,ABCD,Prod73,20-09-2018,112,1,0,112,3430
city3,ABCD,Prod55,25-07-2018,5502.9,90,347.1,65,11426
city2,ABCD,Prod35,26-05-2018,109,4,0,27.25,6225
city1,ABCD,Prod45,26-11-2018,545,1,100,645,1147
city2,ABCD,Prod67,29-09-2018,12547.04,21,2362.96,710,6192
city3,ABCD,Prod30,13-08-2018,540,4,0,135,12877
city2,ABCD,Prod41,24-01-2019,526.4,1,33.6,560,8181
city3,ABCD,Prod11,29-07-2018,414,1,0,414,10549
city3,ABCD,Prod34,04-02-2018,571.52,6,36.48,101.3333,9712
city2,ABCD,Prod43,26-03-2018,7391,19,1425,464,3122
city1,ABCD,Prod70,22-03-2018,330.07,3,5.93,112,490
city3,ABCD,Prod3,30-12-2018,10998.88,13,1988.12,999,9266
city1,ABCD,Prod12,09-03-2018,84.6,1,5.4,90,1155
city3,ABCD,Prod54,21-09-2018,3214.8,19,205.2,180,5866
city3,ABCD,Prod74,30-05-2018,364,7,0,52,10586
city3,ABCD,Prod43,11-02-2019,12903,33,3465,496,5005
city2,ABCD,Prod18,22-07-2018,1504,4,96,400,6726
city2,ABCD,Prod3,14-07-2018,3596,4,400,999,5451
city2,ABCD,Prod3,17-12-2018,1698,2,300,999,3477
city3,ABCD,Prod71,06-02-2018,235,1,15,250,4852
city2,ABCD,Prod7,06-02-2018,280,4,0,70,3466
city3,ABCD,Prod76,24-10-2018,2580.66,16,11.34,162,11658
city1,ABCD,Prod44,02-05-2018,996.4,5,63.6,212,1940
city1,ABCD,Prod44,14-05-2018,1594.24,8,101.76,212,1426
city1,ABCD,Prod58,15-07-2018,153,3,0,51,1953
city2,ABCD,Prod14,31-05-2018,3602,8,640,530.25,5265
city3,ABCD,Prod16,10-04-2018,1240.8,5,79.2,264,5463
city1,ABCD,Prod14,10-04-2018,1736,4,364,525,1172
city2,ABCD,Prod43,21-06-2018,11468.94,26,1068.66,482.2153,4481
city3,ABCD,Prod63,30-05-2018,1992.8,10,127.2,212,10586
city2,ABCD,Prod67,07-02-2019,1905,3,270,725,3315
city3,ABCD,Prod18,20-12-2018,1128,3,72,400,4655
city2,ABCD,Prod59,04-08-2018,450,2,0,225,5340
city3,ABCD,Prod48,31-05-2018,125,1,0,125,7600
city3,ABCD,Prod25,15-03-2019,394.8,2,25.2,210,4630
city3,ABCD,Prod27,16-02-2018,165,5,0,33,4804
city3,ABCD,Prod33,07-08-2018,525,7,0,75,6125
city2,ABCD,Prod36,16-11-2018,1615.12,2,382.88,999,4024
city2,ABCD,Prod3,11-07-2018,2608.01,3,388.99,999,5704
city2,ABCD,Prod77,14-03-2018,1795.82,6,898.18,449,3891
city3,ABCD,Prod22,11-02-2019,1598,2,0,799,5005
city3,ABCD,Prod24,05-04-2018,2418.63,46,157.37,56,5889
city3,ABCD,Prod12,18-06-2018,1989.46,20,130.54,106,6592
city2,ABCD,Prod63,04-04-2018,2109.36,11,134.64,204,4798
city3,ABCD,Prod24,25-07-2018,2105.6,40,134.4,56,11426
city3,ABCD,Prod3,06-02-2018,4378.52,5,279.48,931.6,4852
city2,ABCD,Prod59,06-02-2018,188,1,12,200,3466
city3,ABCD,Prod42,24-10-2018,38,1,0,38,11658
city3,ABCD,Prod54,10-10-2018,3136.4,19,283.6,180,7966
city2,ABCD,Prod50,20-03-2018,402.58,1,77.42,480,4048
city2,ABCD,Prod72,26-05-2018,552.72,4,35.28,147,6225
city3,ABCD,Prod3,05-02-2019,899,1,100,999,5308
city1,ABCD,Prod4,13-03-2019,212,4,0,53,1377
city2,ABCD,Prod55,07-02-2019,611,10,39,65,3315
city3,ABCD,Prod29,19-06-2018,440,8,0,55,6399
city2,ABCD,Prod67,03-10-2018,22672.97,38,4207.03,707.3684,7036
city1,ABCD,Prod29,03-07-2018,330,6,0,55,1533
city2,ABCD,Prod17,25-08-2018,2784,3,360,1048,4346
city3,ABCD,Prod66,31-01-2019,3875,5,125,800,5862
city3,ABCD,Prod65,15-12-2018,617.58,3,39.42,219,7440
city1,ABCD,Prod2,08-02-2019,399.5,4,25.5,106.25,1051
city3,ABCD,Prod11,25-04-2018,1745,5,225,394,8071
city2,ABCD,Prod2,20-09-2018,1240.8,12,79.2,110,3430
city1,ABCD,Prod38,02-05-2018,250,2,0,125,1940
city1,ABCD,Prod18,14-05-2018,695.6,2,44.4,370,1426
city1,ABCD,Prod28,15-07-2018,225,1,0,225,1953
city3,ABCD,Prod18,07-05-2018,1861.2,5,118.8,396,3892
city2,ABCD,Prod14,22-07-2018,9124.08,21,2166.92,537.6666,6726
city2,ABCD,Prod12,14-07-2018,985.12,10,62.88,104.8,5451
city3,ABCD,Prod25,19-11-2018,187.06,1,11.94,199,5375
city1,ABCD,Prod32,25-04-2018,725,5,175,180,1772
city1,ABCD,Prod25,11-07-2018,187.06,1,11.94,199,2246
city2,ABCD,Prod77,11-07-2018,844.12,2,53.88,449,5704
city3,ABCD,Prod57,19-11-2018,5751.9,33,2465.1,249,5375
city3,ABCD,Prod74,07-10-2018,1142.44,22,1.56,52,8978
city1,ABCD,Prod27,13-09-2018,105,3,0,35,1312
city3,ABCD,Prod45,15-03-2019,1790.7,3,114.3,635,4630
city3,ABCD,Prod35,05-02-2019,28,1,0,28,5308
city2,ABCD,Prod32,08-08-2018,1550,10,250,180,5129
city2,ABCD,Prod51,06-03-2019,171,3,24,65,4228
city2,ABCD,Prod45,21-01-2018,934,2,260,597,4943
city3,ABCD,Prod41,02-09-2018,2538,5,162,540,10691
city2,ABCD,Prod22,04-08-2018,1398,2,200,799,5340
city3,ABCD,Prod67,31-05-2018,15650,25,2000,706,7600
city2,ABCD,Prod67,09-03-2018,4350.47,8,654.53,625.625,3165
city3,ABCD,Prod1,21-09-2018,1085,2,220,652.5,5866
city3,ABCD,Prod29,01-04-2018,1815,33,0,55,10157
city2,ABCD,Prod51,07-02-2019,57,1,8,65,3315
city2,ABCD,Prod4,21-12-2018,770,14,0,55,3786
city3,ABCD,Prod42,21-12-2018,66,2,0,33,4500
city3,ABCD,Prod17,12-11-2018,3654,4,640,1073.5,6411
city3,ABCD,Prod34,28-09-2018,896.76,9,57.24,106,6241
city1,ABCD,Prod68,20-03-2019,4249,7,826,725,1553
city2,ABCD,Prod79,17-10-2018,65.99,1,33.01,99,5044
city2,ABCD,Prod17,11-07-2018,8900.37,10,1579.63,1048,5704
city2,ABCD,Prod28,22-07-2018,225,1,0,225,6726
city2,ABCD,Prod71,14-07-2018,940,4,60,250,5451
city3,ABCD,Prod17,17-05-2018,3712,4,480,1048,6518
city1,ABCD,Prod31,02-01-2018,488.8,2,31.2,260,861
city2,ABCD,Prod24,11-09-2018,1253.96,23,80.04,58,4722
city1,ABCD,Prod29,11-09-2018,55,1,0,55,1514
city2,ABCD,Prod56,18-07-2018,265,5,0,53,5464
city2,ABCD,Prod18,19-02-2018,1776.6,5,113.4,378,3033
city1,ABCD,Prod14,17-05-2018,1335,3,240,525,1314
city3,ABCD,Prod56,11-06-2018,196,4,0,49,6983
city1,ABCD,Prod7,20-07-2018,70,1,0,70,1375
city3,ABCD,Prod16,19-06-2018,2030.4,8,129.6,270,6399
city2,ABCD,Prod72,02-01-2018,131.6,1,8.4,140,3891
city2,ABCD,Prod35,16-01-2019,112,4,0,28,3956
city3,ABCD,Prod40,18-01-2018,110,1,0,110,4415
city3,ABCD,Prod27,06-02-2018,464,14,0,33.1428,4852
city3,ABCD,Prod38,24-10-2018,125,1,0,125,11658
city1,ABCD,Prod72,05-02-2018,144.76,1,9.24,154,775
city3,ABCD,Prod19,11-06-2018,810,9,0,90,6983
city1,ABCD,Prod44,11-07-2018,199.28,1,12.72,212,2246
city1,ABCD,Prod32,26-03-2018,596,4,100,174,1030
city3,ABCD,Prod29,07-05-2018,220,4,0,55,3892
city1,ABCD,Prod68,30-03-2018,4270,7,525,685,1371
city3,ABCD,Prod17,07-08-2018,1856,2,240,1048,6125
city2,ABCD,Prod18,16-11-2018,1103.37,3,96.63,400,4024
city2,ABCD,Prod40,09-03-2018,204,2,0,102,3165
city3,ABCD,Prod4,21-09-2018,381.15,7,3.85,55,5866
city2,ABCD,Prod2,26-03-2018,633.56,6,40.44,112.3333,3122
city3,ABCD,Prod16,14-05-2018,1522.8,6,97.2,270,5961
city1,ABCD,Prod63,10-11-2018,576,3,60,212,1606
city3,ABCD,Prod2,29-05-2018,1316,12,84,116.6666,6481
city1,ABCD,Prod17,18-11-2018,2817,3,480,1099,1601
city1,ABCD,Prod2,09-10-2018,888.3,9,56.7,105,1477
city3,ABCD,Prod42,12-06-2018,99,3,0,33,6175
city2,ABCD,Prod54,23-02-2018,639.2,4,40.8,170,1814
city3,ABCD,Prod57,18-01-2019,12116.55,73,6060.45,249,5512
city2,ABCD,Prod71,06-05-2018,1602.7,7,102.3,243.5714,8018
city3,ABCD,Prod34,28-03-2018,479.4,5,30.6,102,7529
city2,ABCD,Prod7,14-03-2018,210,3,0,70,3891
city2,ABCD,Prod29,26-05-2018,605,11,0,55,6225
city3,ABCD,Prod61,01-04-2018,250,1,25,275,10157
city1,ABCD,Prod14,20-07-2018,878,2,200,539,1375
city1,ABCD,Prod59,07-10-2018,211.5,1,13.5,225,1858
city3,ABCD,Prod29,26-03-2018,55,1,0,55,4893
city1,ABCD,Prod24,04-01-2018,315.84,6,20.16,56,767
city1,ABCD,Prod63,27-01-2019,398.56,2,25.44,212,2685
city3,ABCD,Prod55,19-01-2018,2197.72,38,140.28,61.5263,4166
city2,ABCD,Prod27,07-02-2019,70,2,0,35,3315
city3,ABCD,Prod10,20-12-2018,1937,8,208,268.125,4655
city2,ABCD,Prod36,04-08-2018,4091.28,5,648.72,948,5340
city3,ABCD,Prod45,31-05-2018,480,1,135,615,7600
city2,ABCD,Prod58,17-03-2019,106,2,0,53,4309
city3,ABCD,Prod25,01-04-2018,1520.92,8,97.08,202.25,10157
city3,ABCD,Prod19,17-05-2018,84.6,1,5.4,90,6518
city3,ABCD,Prod34,19-06-2018,697.48,7,44.52,106,6399
city2,ABCD,Prod6,07-02-2019,999,1,100,1099,3315
city1,ABCD,Prod19,22-03-2018,253.8,3,16.2,90,490
city3,ABCD,Prod27,30-12-2018,35,1,0,35,9266
city1,ABCD,Prod44,13-03-2019,398.56,2,25.44,212,1377
city2,ABCD,Prod71,07-02-2019,220.9,1,14.1,235,3315
city3,ABCD,Prod37,20-12-2018,78,2,0,39,4655
city2,ABCD,Prod18,04-08-2018,1504,4,96,400,5340
city3,ABCD,Prod26,31-05-2018,130,1,0,130,7600
city2,ABCD,Prod44,18-05-2018,797.12,4,50.88,212,3938
city2,ABCD,Prod17,19-01-2019,929,1,170,1099,3806
city3,ABCD,Prod10,10-05-2018,2380,14,1190,255,6465
city3,ABCD,Prod45,24-01-2019,1695,3,180,625,12897
city3,ABCD,Prod11,11-06-2018,1481,4,100,395.25,6983
city3,ABCD,Prod56,19-06-2018,192,4,0,48,6399
city2,ABCD,Prod17,16-10-2018,4695,5,800,1099,4386
city1,ABCD,Prod24,10-10-2018,490.68,9,31.32,58,1863
city3,ABCD,Prod43,18-01-2018,14334.07,36,2369.93,464,4415
city1,ABCD,Prod68,16-01-2019,5535,9,990,725,1357
city3,ABCD,Prod55,16-01-2019,3299.4,54,210.6,65,6411
city2,ABCD,Prod8,23-02-2018,468.12,1,29.88,498,1814
city2,ABCD,Prod35,28-03-2018,196,7,0,28,4067
city2,ABCD,Prod12,29-01-2018,287.64,3,18.36,102,3145
city3,ABCD,Prod71,02-03-2018,235,1,15,250,4935
city3,ABCD,Prod33,18-07-2018,75,1,0,75,9663
city2,ABCD,Prod67,17-05-2018,1890,3,240,710,4403
city1,ABCD,Prod41,30-03-2018,936.24,2,59.76,498,1371
city1,ABCD,Prod17,07-10-2018,888,1,160,1048,1858
city3,ABCD,Prod43,26-03-2018,5904,16,1520,464,4893
city2,ABCD,Prod46,11-07-2018,350,1,25,375,5704
city3,ABCD,Prod18,25-07-2018,2632,7,168,400,11426
city3,ABCD,Prod12,06-02-2018,1975.88,21,126.12,100.0952,4852
city2,ABCD,Prod32,06-02-2018,1078,7,140,174,3466
city3,ABCD,Prod59,24-10-2018,211.5,1,13.5,225,11658
city3,ABCD,Prod59,10-10-2018,211.5,1,13.5,225,7966
city2,ABCD,Prod48,20-03-2018,238,2,0,119,4048
city3,ABCD,Prod6,25-07-2018,2997,3,300,1099,11426
city3,ABCD,Prod34,06-02-2018,92.12,1,5.88,98,4852
city2,ABCD,Prod1,06-02-2018,606.3,1,38.7,645,3466
city3,ABCD,Prod14,24-10-2018,52283.08,114,9162.92,539,11658
city3,ABCD,Prod47,10-10-2018,1287,3,153,480,7966
city2,ABCD,Prod63,20-03-2018,1472,8,160,204,4048
city1,ABCD,Prod59,09-10-2018,175,1,50,225,1477
city1,ABCD,Prod36,14-09-2018,1644,2,252,948,1395
city3,ABCD,Prod19,14-05-2018,423,5,27,90,5961
city1,ABCD,Prod70,10-11-2018,210,2,14,112,1606
city3,ABCD,Prod55,29-05-2018,1894.1,31,124.8,65.1258,6481
city1,ABCD,Prod8,18-11-2018,507.6,1,32.4,540,1601
city3,ABCD,Prod47,31-01-2019,858,2,102,480,5862
city3,ABCD,Prod41,25-07-2018,3045.6,6,194.4,540,11426
city3,ABCD,Prod36,23-12-2018,9802.32,11,625.68,948,8052
city3,ABCD,Prod18,12-06-2018,376,1,24,400,6175
city2,ABCD,Prod45,12-06-2018,480,1,135,615,4317
city1,ABCD,Prod18,30-11-2018,376,1,24,400,1150
city2,ABCD,Prod24,30-11-2018,981.36,18,62.64,58,4160
city3,ABCD,Prod67,19-10-2018,16095,26,2340,709.0384,5915
city2,ABCD,Prod68,07-02-2019,2540,4,360,725,3315
city1,ABCD,Prod68,02-05-2018,5900,10,1200,710,1940
city2,ABCD,Prod1,10-08-2018,500,1,160,660,6246
city3,ABCD,Prod29,06-01-2019,275,5,0,55,8905
city1,ABCD,Prod10,29-05-2018,680,4,340,255,1257
city3,ABCD,Prod45,08-06-2018,1902,4,540,610.5,7213
city2,ABCD,Prod51,12-08-2018,55,1,10,65,10939
city3,ABCD,Prod74,19-01-2018,48.88,1,3.12,52,4166
city3,ABCD,Prod65,10-10-2018,411.72,2,26.28,219,7966
city2,ABCD,Prod59,20-03-2018,402.41,2,47.59,225,4048
city2,ABCD,Prod38,20-09-2018,115,1,0,115,3430
city1,ABCD,Prod18,02-05-2018,1278.4,4,81.6,340,1940
city1,ABCD,Prod71,14-05-2018,470,2,30,250,1426
city2,ABCD,Prod65,15-02-2019,205.86,1,13.14,219,3631
city2,ABCD,Prod17,26-03-2018,1970.24,2,125.76,1048,3122
city1,ABCD,Prod18,22-03-2018,357.2,1,22.8,380,490
city2,ABCD,Prod54,30-12-2018,2356.17,14,163.83,180,5668
city3,ABCD,Prod30,30-12-2018,270,2,0,135,9266
city2,ABCD,Prod72,16-10-2018,144.76,1,9.24,154,4386
city1,ABCD,Prod7,07-10-2018,70,1,0,70,1858
city3,ABCD,Prod52,26-03-2018,1275,3,0,425,4893
city3,ABCD,Prod76,19-01-2018,1065.96,7,68.04,162,4166
city3,ABCD,Prod23,20-12-2018,639,1,51,690,4655
city2,ABCD,Prod22,07-02-2019,799,1,0,799,3315
city3,ABCD,Prod7,25-07-2018,419,6,0,69.8333,11426
city3,ABCD,Prod18,17-05-2018,376,1,24,400,6518
city2,ABCD,Prod8,04-08-2018,1015.2,2,64.8,540,5340
city3,ABCD,Prod16,31-05-2018,1269,5,81,270,7600
city2,ABCD,Prod80,10-04-2018,423,1,27,450,3419
city1,ABCD,Prod77,30-03-2018,1274.49,4,521.51,449,1371
city2,ABCD,Prod3,04-08-2018,5187.42,6,806.58,999,5340
city3,ABCD,Prod55,31-05-2018,3234.05,53,210.95,65,7600
city2,ABCD,Prod32,10-04-2018,1786.34,13,475.66,174,3419
city2,ABCD,Prod42,26-05-2018,220.89,6,1.11,37,6225
